Latitude,Longitude,Temperature (°C),Rainfall (mm),Soil Quality,Crop Suitability,Historical Yield Trend
16.93,78.72,40,,Medium,Cotton,Low
17.78,84.89,34,56,Medium,Peas,Low
16.98,83.53,31,13,Medium,Rice,Low
19.81,82.46,33,85,Medium,Maize,No Data
10.15,81.31,36,,High,Barley,Low
10.63,77.09,26,36,High,,Low
15.66,76.83,,,Medium,Barley,Low
13.84,75.9,32,120,High,Barley,No Data
16.89,78.24,34,20,High,None,Low
13.72,75,27,38,Low,,High
16.52,82.82,36,125,Low,None,Average
12.88,78.43,28,148,Medium,Groundnut,High
15.58,82.83,35,18,High,,Low
10.79,82.1,32,145,Medium,Barley,Low
12.46,84.83,39,22,High,Peas,Average
11.33,82.76,31,104,Medium,Peas,No Data
16.63,84.39,,104,Low,Wheat,No Data
18.5,84.53,25,6,Low,Maize,Average
14.65,81.08,25,83,Medium,Groundnut,High
18.75,84.69,28,137,Medium,,Average
10.31,76.69,38,13,Low,Wheat,High
16.91,77.59,31,42,Medium,Cotton,No Data
12.32,80.78,26,147,Medium,None,High
10.38,75.17,32,,Low,Barley,No Data
10.05,77.21,25,86,High,,Low
16.2,83.95,27,121,High,Wheat,Average
16.83,79.44,27,71,Low,Cotton,Low
14.19,84.75,28,,Medium,,Low
19.53,78.86,34,78,Low,Peas,High
17.52,80.87,31,146,High,None,No Data
11.09,77.86,25,,Low,Rice,No Data
16.38,78.02,32,57,High,Rice,Low
17.62,79.09,34,122,High,Peas,Average
11.29,84.39,31,5,Medium,Wheat,No Data
18.22,80.69,,142,Medium,,Average
16.5,83.31,34,,High,Barley,High
10.73,80.64,36,63,Medium,,No Data
11.91,79.16,37,113,Medium,Peas,Average
11.73,78.91,,106,High,,No Data
11.26,82.07,28,17,Low,None,High
13.6,83.12,38,97,Medium,Wheat,Average
13.7,83.93,,,Low,Barley,Average
11.63,84.74,,,High,None,No Data
12.43,81.32,,36,Medium,Wheat,Low
12.03,82.52,26,17,Low,Barley,No Data
16.91,79.07,29,16,Low,,Average
15.98,78,37,54,High,Peas,High
12.91,78,,63,High,,High
19.4,82.58,37,,Low,Rice,Low
13.23,78.08,33,38,High,None,Low
18.33,76.83,30,67,High,Groundnut,Average
18.98,84.21,29,142,High,Maize,No Data
15.72,84.33,39,33,High,Wheat,Average
17.15,76.37,,67,Medium,,No Data
10.54,75.4,31,61,Medium,Rice,Average
13.62,78.71,39,85,Medium,Maize,High
19.15,80.9,,83,Medium,Peas,Average
19.52,78.65,27,51,High,Rice,No Data
12.95,81.36,,74,High,None,Average
16.13,82.87,34,139,Low,None,No Data
16.6,78.17,38,139,High,,High
13.43,78.62,35,58,High,Rice,No Data
17.5,82.17,26,,High,Barley,No Data
10.79,75.64,,27,Medium,None,High
13.4,82.76,27,4,Medium,Rice,High
12.59,77.6,25,11,High,Cotton,High
18.58,77.68,,139,Medium,,Average
13.31,79.46,,8,Medium,Cotton,High
12.36,79.82,37,20,Medium,None,No Data
10.75,78.73,37,128,High,,Low
17.99,80.46,34,10,Low,,High
10.29,78.74,39,134,High,,High
15.25,80.48,40,15,Medium,Maize,No Data
19.7,80.14,35,65,High,Maize,High
14.96,80.82,26,115,Low,Wheat,Low
19.01,75.11,,57,Low,Peas,Average
17.77,75.21,,96,Medium,None,No Data
14.31,75.41,40,130,Low,Rice,Average
14.69,80.14,34,69,Medium,,No Data
15.66,80.28,27,104,High,,Average
16.64,80.53,39,146,Medium,Wheat,Low
11.56,79.51,38,,Low,Rice,Low
15.61,75.05,32,,Low,Cotton,No Data
11.17,83.02,26,43,High,,No Data
17.85,77.79,,,Low,Cotton,Average
14.25,80.94,40,144,Low,Groundnut,Low
11.65,83.37,40,,Low,,High
14.9,76.38,31,,Medium,Peas,Low
11.56,84.78,36,6,Low,Maize,No Data
16.06,76.95,26,122,High,Cotton,Low
13.51,77.52,32,148,Low,Wheat,High
12.64,78.58,40,77,Low,Rice,High
17.73,76.37,39,,Medium,Rice,Average
13.89,75.65,27,113,High,Barley,Low
15.13,81.14,32,83,High,Wheat,No Data
19.13,80.62,29,80,High,Cotton,High
18.53,78.27,,106,Medium,,High
14.66,77.56,38,,High,Rice,High
18.32,81.04,39,39,High,,Average
13.76,79.29,29,31,Medium,Rice,No Data
11.87,84.05,26,8,Low,Maize,Low
18.04,76.44,37,7,High,Rice,No Data
14.24,81.89,35,54,High,Cotton,Average
18.31,79.71,30,44,Medium,Cotton,Low
19.67,78.05,,119,High,Wheat,Average
12.49,77.55,29,96,Low,,Low
16.87,78.73,,,Medium,Cotton,Low
18.01,77.78,27,118,High,Peas,Average
10.91,83.13,26,38,Medium,Peas,High
17.22,83.23,31,7,Low,Groundnut,High
14.94,83.46,39,86,High,,Average
10.73,75.24,,145,Low,Rice,No Data
18.58,82.23,28,,Medium,Barley,No Data
16.61,80.14,40,107,Low,Wheat,Low
15.28,78.71,26,,Medium,Groundnut,High
12.02,75.4,36,,Low,,Average
11.04,77.72,33,107,Medium,Maize,Low
19.23,79.74,,67,Low,None,No Data
18.42,76.71,36,,High,Maize,Average
19.55,83.78,30,136,Medium,Groundnut,Low
15.42,76.2,26,63,Medium,,High
16.74,84.59,39,12,Low,,Average
10.06,82.78,37,41,High,None,Low
10.59,81.46,32,139,High,,Average
14.79,76.44,27,79,Low,Maize,Low
19.84,83.7,28,,Medium,Rice,Average
12.83,78.79,33,24,Low,None,High
19.49,83.52,33,48,High,Maize,High
12.92,81.65,30,128,Medium,None,Low
18.71,82.34,25,93,Medium,Groundnut,No Data
10.27,83.59,32,49,Low,,No Data
15.44,83.57,39,23,Medium,Groundnut,Average
12.01,83.45,33,,Medium,None,High
13.69,84.01,29,86,Low,Maize,Average
12.28,77.55,31,145,High,Wheat,High
12.39,84.66,,45,Low,Groundnut,No Data
10.7,77.72,,6,Low,Wheat,Average
17.08,80.37,30,17,Low,Wheat,High
11.94,78.14,28,,Low,,High
18.46,82.24,35,,Low,Rice,No Data
15.77,81.08,40,15,High,Maize,No Data
10.53,80.79,,76,High,Barley,High
16.72,79,26,148,Low,Rice,No Data
17.78,77.78,35,104,Medium,Wheat,Low
12.22,83.98,28,138,High,Rice,Low
10.61,78.32,,,Medium,Rice,High
16.76,84.13,25,78,Low,Peas,Average
13.71,79.67,35,23,High,Peas,No Data
19.67,82.43,26,,Medium,Peas,Low
12.3,84.15,32,,Low,Peas,Average
12.51,82.34,29,,Low,Cotton,High
16.69,79.3,,87,Low,Barley,Low
12.3,81.73,39,107,Medium,Barley,No Data
17,83.42,,,High,Groundnut,No Data
16.71,82.64,27,82,Low,Peas,Low
16.85,82.9,35,84,Medium,Groundnut,No Data
11.5,84.22,,,Medium,Peas,No Data
10.27,76.07,31,31,Medium,Cotton,High
14.4,83.56,27,40,Medium,Wheat,Low
12.99,82.46,,78,Low,Peas,Average
19.16,84.97,40,34,Medium,Wheat,Average
19.08,83.68,28,111,Medium,Maize,High
11.69,76.49,,108,Medium,,No Data
13.64,81.17,25,128,Low,Barley,No Data
12.3,80.82,36,100,High,Barley,No Data
17.11,79.72,26,9,Low,Cotton,Average
18.89,75.63,,,Low,Barley,Low
14.84,84.98,27,83,High,Barley,Low
19.77,76.95,25,35,Low,None,Low
18.88,79.02,37,140,Low,,High
19.86,76.12,26,,Low,None,High
19.19,79.47,26,94,Low,Barley,Low
17.01,77.53,,4,Medium,Barley,High
19.51,83.28,29,0,Low,Barley,Low
15.32,79.17,32,127,High,Maize,No Data
17.73,78.17,40,147,Medium,Peas,High
11.05,77.56,33,14,Medium,Cotton,Average
16.3,80.71,26,65,Low,Barley,No Data
15.39,80.83,25,150,Medium,Maize,Average
12.48,79.14,32,130,Medium,Rice,Low
13.14,76.27,31,,Low,Wheat,No Data
13.19,78.05,39,59,High,Cotton,No Data
16.02,82.02,26,99,Medium,Cotton,Average
16.85,76.13,37,,High,Peas,High
18.4,77.34,34,47,Medium,Rice,High
18.33,81,30,,High,Peas,Low
13.72,79.48,32,,Medium,Wheat,High
12.79,82.6,33,118,High,Peas,Low
13.38,76.53,34,137,Medium,Cotton,No Data
10.67,79.04,,70,Low,Peas,Average
20,78.39,35,138,High,None,No Data
13.87,81.69,28,135,High,Peas,High
17.79,84.69,36,84,Medium,Wheat,Low
13.63,83.23,30,65,Low,Rice,Low
13.03,80.88,37,,Medium,Groundnut,Average
12.32,75.9,28,136,High,Maize,Low
16.26,82.75,,,Medium,Peas,Average
13.45,81.31,27,140,Low,Maize,Average
10.36,80.74,,,Medium,Rice,No Data
15.19,84.84,,27,Low,,High
15.26,77.51,38,91,Low,Cotton,Low
13.58,80.2,33,92,Medium,Maize,Low
11.04,78.45,40,,Low,Maize,No Data
17.74,82.05,,89,Medium,Wheat,Average
14.3,82.97,36,109,High,Groundnut,Average
11.45,78.93,33,45,Medium,Peas,High
14.85,79.7,,22,High,Wheat,Low
17.95,84.2,39,,Medium,Maize,Low
17.14,81.56,33,81,Medium,Cotton,Average
18.56,80.29,28,71,High,Barley,Average
10.13,79.36,37,39,High,Groundnut,Average
13.02,84.5,40,35,High,Groundnut,Low
10.65,82.51,32,69,High,Groundnut,Low
17,81.05,25,40,Medium,Wheat,Low
15.06,76.89,,124,High,Wheat,Average
17.12,81.66,29,7,High,Peas,Low
13.77,83.7,32,96,Medium,Peas,No Data
10.95,83.96,27,148,Medium,None,High
17.87,78.95,32,132,Medium,Wheat,Average
10.32,84.1,,146,High,,Average
13.84,76.5,,109,High,Maize,Average
10.66,75.73,,130,High,,Average
19.1,75.95,39,89,Low,Barley,High
11.02,84.36,32,55,Low,Peas,No Data
16.43,82.77,35,1,High,Rice,No Data
19.83,78.82,25,11,Medium,Peas,High
10.24,76.05,,,High,Cotton,Average
12.97,79.99,,,Medium,Groundnut,Average
18.24,84.01,38,,High,Peas,Average
10.78,75.9,,41,Low,,No Data
15.61,80.6,33,74,High,Rice,High
10.62,82.56,31,69,Medium,Peas,High
18.7,78.4,,133,Low,,Low
17.66,84.16,,92,Low,Rice,Low
19.9,81.28,30,31,High,,No Data
18.45,76.14,25,12,High,Groundnut,High
19.58,75.5,27,,Low,Rice,No Data
15.04,83.86,34,96,Low,None,No Data
13.89,84.72,36,4,High,Groundnut,High
19.95,80.48,,,High,Rice,Low
13.39,76.4,25,91,High,Cotton,No Data
12.17,81.18,38,105,Medium,Cotton,Average
11.3,80.3,35,87,Medium,Wheat,Low
16.15,77.91,29,,Low,None,High
13.32,82.28,,145,Low,Groundnut,No Data
19.91,75.32,,11,Medium,Rice,No Data
19.15,80.63,38,23,Low,Groundnut,Average
10.73,75.03,30,5,Low,,No Data
15.86,84.98,36,,High,Cotton,High
14.1,76.98,27,49,High,Maize,No Data
16.91,77.7,25,132,Low,Groundnut,High
11.19,77.66,,108,High,,Low
18.65,78.54,34,12,Medium,,High
17.03,76.7,,104,Medium,Barley,High
13.87,82.92,35,,Low,None,High
17.51,83.86,36,,Low,Barley,Low
10.46,79.85,36,31,Medium,Groundnut,Low
10.82,79.08,27,,High,Maize,Low
15.33,82.25,35,129,Medium,Wheat,Average
13.32,78.5,36,,Medium,Wheat,High
10.39,80.14,39,52,High,Maize,Low
18.81,82.83,,136,Low,,No Data
13.43,75.64,,64,Medium,,Low
19.1,76.19,39,138,Medium,Groundnut,Average
18.51,78.24,32,43,Medium,Cotton,High
16.21,83.09,29,74,Low,Peas,No Data
11.41,78.54,,,Low,Barley,No Data
15.64,81.61,27,45,High,,Average
11.33,78.88,25,99,Low,,Average
18.79,83.72,29,115,Low,Barley,Low
10.5,76.15,33,46,High,Maize,Low
13.44,77.58,36,146,Low,Wheat,High
17.85,84.56,25,100,Low,Rice,High
12.86,83,40,141,Low,Rice,No Data
17.9,75.84,26,16,Low,None,Low
10.09,77.8,37,,High,Cotton,Low
12.58,76.61,28,125,Low,,Average
16.77,80.61,40,55,Low,Maize,Average
11.45,75.13,30,74,High,,No Data
17.64,77.11,,52,High,Barley,No Data
17.91,84.53,31,19,Low,Maize,Average
12.73,83.36,31,118,High,Barley,Low
14.26,81.57,25,,Low,,High
13.38,75.16,,137,Low,Peas,Low
11.16,79.01,31,68,High,,Low
16.28,83.74,,118,Medium,Barley,Average
12.92,81.74,38,150,High,Wheat,High
14.47,82.46,,,Medium,Groundnut,No Data
18.09,82.37,29,37,Low,Peas,Average
13.21,84.56,,114,Low,Peas,Average
14.15,81.09,40,43,Low,Maize,Average
14.73,76.21,27,67,Low,Barley,Average
14.8,76.95,29,,High,Cotton,Low
10.3,81.57,26,18,Low,Wheat,Low
16.23,76.73,,118,Medium,Groundnut,No Data
11.29,77.99,32,140,Medium,Wheat,Low
13.91,80.71,35,,Medium,Barley,High
10.54,83.66,30,,Medium,None,No Data
15.88,81.42,28,86,Low,Rice,Low
16.99,78.1,39,,Medium,Cotton,Low
12.23,81.27,27,22,Low,Barley,Average
10.03,75.86,27,136,High,Rice,Low
17.6,75.46,39,79,High,Peas,Average
13.95,76.55,,,High,Maize,No Data
12.75,75.62,30,87,High,Groundnut,Low
18.56,81.3,38,,High,Groundnut,High
16.02,76.36,36,127,Low,Groundnut,No Data
14.6,76.02,34,56,Low,,High
10.41,84.25,30,16,Low,Barley,No Data
14.43,75.77,,6,High,Cotton,High
19.32,82.18,34,,Medium,Wheat,High
16.25,82.37,39,,Low,Cotton,Low
12.85,83.03,32,55,High,Wheat,Low
11.22,84.27,28,,Low,Peas,Average
10.77,84.6,30,50,High,Peas,No Data
11.54,75.62,,27,High,Groundnut,High
10.61,77.74,,,High,None,No Data
11.39,81.86,,16,High,Rice,Low
13.85,79.46,,6,High,,High
14.71,79.22,36,,Medium,,No Data
10.18,84.23,36,130,Low,Rice,Low
15.07,76.61,29,101,High,Peas,No Data
16.35,81.12,28,44,Medium,Wheat,Low
17.36,80,29,32,Medium,,Low
15.28,77.07,37,37,Low,Groundnut,High
12.51,82.48,30,108,Low,Groundnut,Low
15.02,80.02,,90,Low,Peas,No Data
15.07,81.41,37,132,High,None,No Data
13.77,77.21,31,89,Low,,High
15.57,82.98,28,70,Medium,Groundnut,Low
18.75,78.86,27,66,Low,Groundnut,Average
19.12,76.09,30,,Medium,Cotton,No Data
19.26,80.36,33,49,Low,Barley,High
17.89,82.24,28,,Medium,Peas,High
16.98,78.45,34,,Medium,Maize,High
19.49,81.96,26,123,Low,Barley,Average
13.73,81.06,40,140,High,Maize,Average
14.38,76.38,28,20,Medium,None,High
19.28,81.22,,83,Medium,Wheat,Low
14.59,83.57,31,103,High,Maize,No Data
18.26,75.52,37,,Low,Peas,Low
15.51,82.05,31,4,Medium,Barley,Average
10.79,75.16,36,55,High,Barley,Low
19.25,78.11,38,,Medium,,No Data
19.99,84.31,34,40,High,,No Data
19.34,79.02,38,136,Low,None,No Data
13.23,75.29,,38,Medium,Maize,No Data
19.3,78.76,,83,High,,Low
13.57,81.35,,,Medium,Maize,High
12.01,76,39,,High,Barley,High
19,77.77,38,116,Medium,Peas,Average
10.21,75.91,38,110,Low,None,Low
13.56,80.55,,43,High,None,High
19.5,81,38,0,Low,Barley,Low
17.29,82.45,35,22,Low,Barley,High
11.04,84.95,,78,High,None,High
17.13,79.56,29,95,Medium,Cotton,Average
14.56,80.74,28,10,Medium,Wheat,Average
19.33,77.88,,133,High,Maize,Average
19.55,82.15,,8,High,Maize,High
18.98,80.81,,2,Low,Wheat,Low
13.8,83.41,,18,Low,Maize,No Data
14.39,79.15,35,,Low,Barley,Low
14.02,78.64,34,135,Low,Wheat,Low
14.65,76.24,25,135,High,Peas,High
13.65,79.6,25,147,Medium,Groundnut,High
17.6,76.22,29,,Low,Barley,Low
16.5,79.22,,126,High,Rice,Average
19.05,81.29,33,51,High,Barley,No Data
11.27,76.65,37,,High,Peas,No Data
14.01,83.13,39,7,Medium,None,High
15.23,84.23,,78,Low,,High
12.1,82.91,31,111,High,,No Data
17.91,78.08,29,,Medium,Wheat,High
16.11,79.04,35,,Medium,Peas,Average
18.11,76.99,,93,Medium,Peas,Low
12.51,80.02,,28,Low,,No Data
13.45,77.5,35,101,Medium,Peas,No Data
10.65,81.35,,20,High,Peas,No Data
13.65,75.87,25,2,Medium,Maize,Average
13.68,75.41,35,137,Medium,Barley,High
18.26,81.52,,135,Low,,No Data
11.81,75.77,33,,High,Groundnut,Low
11.11,75.35,27,46,High,Peas,High
15.01,78.57,38,6,Low,Wheat,Average
13.28,80.13,32,4,High,Groundnut,Average
18.45,81.88,40,0,Low,Wheat,No Data
14.04,77.63,32,,Medium,Rice,Average
18.65,84.97,25,,High,Cotton,High
18.42,76.6,,42,Low,Rice,High
16.06,78.49,30,36,Low,Cotton,High
11.82,76.07,31,57,Medium,Groundnut,High
14.54,79.22,25,,Low,Peas,No Data
14.52,82.93,25,58,Low,,High
13.43,77.6,26,78,High,Wheat,No Data
10.57,81.77,30,82,Low,Rice,No Data
10.61,82.88,31,,High,None,Low
13,79.67,40,,High,Groundnut,Low
10.9,80.99,28,31,Low,Barley,Average
10.77,80.86,25,149,High,Peas,High
10.67,75.8,31,37,Low,Peas,No Data
14.31,77.03,26,,Medium,Barley,Average
18.8,76.91,35,110,Low,Rice,Low
10.36,82.47,34,35,Low,,Low
10.68,75.2,,66,High,None,No Data
12.69,75.83,26,141,Low,Wheat,Low
10.89,81.17,,,Low,Maize,Low
13.9,82.68,,,Low,Cotton,No Data
15.87,80.2,36,,Low,Rice,High
13.15,80.71,,131,High,,Low
12.99,79.89,37,,High,Groundnut,High
18.47,80.07,,79,Low,Rice,Low
17.7,79.29,39,59,Low,,Low
14.37,78.28,30,119,Medium,Peas,No Data
18.7,75.65,30,19,High,Maize,Low
16.22,76.99,30,62,High,Peas,No Data
10.07,81.14,32,71,Medium,Wheat,No Data
19.89,78.49,,51,Low,Cotton,No Data
13.43,84.42,30,29,High,Barley,No Data
17.79,84.53,40,69,Low,,Low
14.63,80.86,36,46,High,Barley,High
14.54,81.61,,,High,,No Data
14.61,77.21,33,113,High,Cotton,Low
16.54,76.51,39,10,Medium,,No Data
15.36,80.7,35,31,Low,Peas,High
14.96,76.63,33,62,Medium,,High
16.16,80.57,,130,Medium,Rice,High
18.13,78.3,32,,Medium,Rice,Average
19.53,80.5,,111,Low,Maize,High
11.74,78.53,40,133,High,,High
11.85,78.47,33,28,Low,Wheat,Low
14.23,76.65,40,,Medium,Rice,High
18.68,80.17,,,Medium,Cotton,High
18.2,84.07,32,146,Low,Peas,No Data
14.92,83.29,32,,High,Rice,Low
14.85,78.47,,114,High,Peas,Average
18.73,82.54,39,126,Low,None,High
19.45,81.18,32,131,Medium,Cotton,Average
18.65,75.47,33,,Low,Maize,Low
14.32,82.39,,33,High,,Low
13.81,80.57,34,143,Medium,,Average
15.07,79.72,37,58,Low,Barley,Low
14.84,84.95,29,127,Medium,Maize,No Data
11.59,76.62,39,121,High,,Low
13.73,76.34,32,39,Medium,,Low
10.07,77.1,33,128,Low,Barley,No Data
11.69,82.59,27,104,Low,,High
18.61,83.42,25,58,High,Wheat,High
15.99,76.52,35,64,High,Groundnut,No Data
10.38,80.86,36,15,Medium,None,Average
14.63,80.54,36,127,Medium,Rice,No Data
17.84,76.48,27,,Low,Barley,High
17.36,76.87,30,17,High,,No Data
19.86,83.47,34,28,Medium,,High
10.22,77.42,39,,Low,,No Data
18.66,76.21,26,41,Medium,Rice,No Data
11.93,78.31,27,134,Low,Barley,Low
15.14,79.66,29,77,Medium,Rice,Average
14.46,83.03,35,98,High,Cotton,Low
18.38,81.7,,31,High,Groundnut,Average
10.35,77.4,38,111,High,,Average
16.06,83.62,34,137,Low,Peas,Average
11.09,77.06,40,7,High,Wheat,Low
19.71,81,35,41,Low,Maize,Low
17.52,76.57,,41,Medium,Groundnut,High
10.98,81.61,31,146,Medium,Barley,Average
13.99,80.4,36,150,High,Rice,Average
14.29,82,,,Medium,Rice,Low
18.72,82.91,,,Low,Rice,Average
12.54,82.09,31,48,High,Cotton,High
10.59,84.89,25,,Medium,Barley,No Data
17.88,76.73,27,62,Medium,,Low
13.81,78.31,25,,Low,Groundnut,High
13.34,84.29,39,88,Low,Peas,High
17.18,80.05,,,Low,Wheat,High
18.05,81.64,25,104,Low,Rice,High
19.6,77.25,35,,Low,Groundnut,High
15.63,84.84,37,130,High,Groundnut,High
17.41,84.42,32,,Medium,Peas,Average
11.42,76.95,40,50,Low,Wheat,High
17.77,84.4,27,39,High,,No Data
17.31,79.67,,,Medium,Wheat,No Data
13.52,82.7,37,85,Medium,None,Low
13.82,78.79,28,69,Medium,Rice,No Data
14.46,79.46,31,30,Low,,No Data
13.53,83.71,37,,Low,Peas,Low
14.92,84.62,33,,High,None,Average
12.45,77.18,32,113,High,Maize,Low
11.82,78.2,,47,Medium,Cotton,No Data
13.39,78.55,32,23,Low,Rice,No Data
19.96,83.01,26,8,Low,Peas,Average
17.61,76.59,,62,Medium,Wheat,Low
14.15,80.68,,,Low,Groundnut,Low
11.28,79.32,30,143,High,Wheat,Low
17.11,83.51,25,69,Low,Rice,Low
10.68,83.07,,102,High,,High
11.57,84.3,,135,High,Cotton,High
18.69,76.24,32,,Medium,Wheat,No Data
10.22,83.66,33,,High,None,No Data
12.97,81.11,27,74,Low,Maize,No Data
15.88,80.69,35,85,Medium,Wheat,Average
16.64,76.64,,61,High,Peas,No Data
18.38,80.9,,115,Low,Maize,Low
11.03,75.11,32,,High,Rice,Average
14.07,77.96,30,99,Low,Wheat,High
14.62,75.85,37,62,Medium,Cotton,High
15.9,83.37,,134,High,Barley,No Data
17.31,84.44,33,58,High,Groundnut,No Data
19.29,75.77,30,112,High,Rice,Average
11.47,83.28,40,119,High,Maize,High
15.71,83.33,40,119,High,Maize,No Data
12.1,80.37,27,,Low,Cotton,Low
17.3,83.01,32,148,High,Cotton,Average
11.21,78.9,34,139,Medium,Barley,No Data
15.17,78.58,36,,Low,Rice,High
13.71,81.75,,124,Low,,Low
14.75,76.49,28,69,High,Maize,Low
17.45,81.82,36,39,Low,Peas,High
13.09,75.29,34,,Low,,No Data
16.66,75.09,38,86,Medium,None,No Data
19.86,84.3,26,145,High,,Average
14.08,80.78,36,128,High,Groundnut,Low
17.12,82.06,38,97,High,Peas,No Data
16.41,83.82,28,112,High,Barley,Low
17.65,80.25,35,56,Low,Peas,High
13.6,79.45,25,58,Medium,Groundnut,High
13.62,83.67,31,30,Medium,,Average
16.38,84.72,39,43,High,Barley,No Data
15.11,80.6,38,,Medium,Peas,Low
11.35,82.4,,36,Medium,Barley,High
17.57,80.14,25,11,High,Peas,No Data
10.23,77.36,30,,Low,,Average
16.94,83.23,40,30,Medium,Cotton,High
10.71,76.66,40,139,Medium,Groundnut,No Data
10.39,83.01,34,107,High,None,Average
17.56,79.23,30,46,High,,No Data
12.35,84.11,39,111,High,Maize,High
16.31,76.62,,103,Medium,Maize,No Data
19.35,82.76,26,39,High,None,Low
12.47,76.4,34,113,Low,Barley,Average
19.92,78.02,30,47,High,Maize,Average
11.3,77.08,,37,High,Cotton,Average
11.97,76.54,31,35,High,Maize,Low
10.46,78.54,,92,High,Cotton,Average
12,79.68,,43,Low,Wheat,Average
15.44,78.03,28,145,Medium,,Low
14.09,84.54,39,114,Medium,,Average
15.53,82.32,32,,Low,Cotton,Low
10,78.32,36,144,Medium,Maize,No Data
18.77,80.83,29,38,Low,,Average
12.15,76.58,,90,Medium,None,Low
15.14,79.82,27,71,High,None,No Data
16.49,81.96,26,13,Low,Maize,High
19.76,77.44,26,61,Medium,None,High
11.24,75.74,35,144,Medium,Cotton,Low
13.84,78.28,38,108,Medium,None,Low
13.15,75.73,40,112,Medium,Cotton,High
19.99,83.89,30,,Low,None,Low
14.95,76.61,37,46,High,Barley,Average
18.53,81.85,,,High,Rice,High
16.72,82.07,26,55,High,Groundnut,Average
17.55,76.9,36,144,Low,Barley,High
15.79,77.42,25,,Low,Maize,Low
12.37,75.95,28,75,High,,Low
10.76,75.08,39,40,High,,Low
12.89,75.71,38,27,Medium,Peas,Average
17.89,79.08,38,91,Low,,High
13.19,84.02,34,122,High,,Low
14.88,75.36,39,30,High,Maize,High
13.88,77.32,37,13,Low,Maize,Average
12.53,83.68,29,35,High,Cotton,High
13.45,79.48,36,,Low,Rice,High
19.1,82.93,25,66,Medium,Wheat,High
18.32,83.18,33,47,Low,None,Average
18.25,84.8,32,,Low,Wheat,Low
10.22,76.99,,94,Medium,Groundnut,Low
16.57,82.97,28,69,Low,Wheat,Low
17.22,83.78,32,68,High,Groundnut,No Data
18.16,82.1,33,146,Low,Wheat,High
18.66,80.75,27,73,Medium,Maize,No Data
11.4,81.98,,60,Medium,Cotton,No Data
10.1,78.54,40,,High,None,High
18.49,76.28,35,105,Low,Rice,Average
18.97,78.61,27,26,Medium,Wheat,Average
12.84,81.67,33,124,Low,,Average
12.17,76.43,40,58,Low,None,Average
16.76,84.98,,125,High,None,High
12.77,77.07,32,136,High,,High
13.17,83.54,32,8,Medium,None,No Data
13.56,77.46,32,,High,Peas,Low
13.73,77.26,32,,Medium,Maize,Average
16.83,78.08,39,34,Low,Groundnut,High
11.68,82.28,30,69,High,,Average
10.02,84.38,29,76,Medium,Wheat,No Data
18.77,76.63,37,75,Low,Groundnut,High
10.2,80.43,33,79,Medium,None,Low
17.78,79.19,33,105,Medium,Barley,High
10.88,75.5,38,,High,Wheat,High
14.94,76.14,40,20,High,Wheat,Average
12.47,76.34,32,114,Low,Rice,Average
15.73,78.91,30,59,Medium,None,Low
18.88,80.21,31,104,Medium,Wheat,High
10.32,79.21,39,115,High,Maize,Average
19.56,81.78,36,23,Medium,,Average
12.11,81.58,39,113,Medium,Barley,Average
11.22,83.23,35,122,Low,Cotton,High
19.89,80.42,35,,Medium,Groundnut,Low
11.76,80.2,34,26,Medium,Peas,No Data
13.41,76.37,29,21,Low,Maize,No Data
17.84,78.47,25,41,Medium,Wheat,Low
15.12,80.33,,84,Low,Cotton,No Data
11.75,76.36,38,2,Medium,None,No Data
19.86,77.98,32,,Low,Maize,Low
18.26,83.52,,,High,,Average
11.75,82.88,25,20,Medium,Barley,Average
17.54,78.09,34,,Low,Groundnut,Low
11.31,80.35,36,45,Medium,Rice,Low
12.06,76.22,40,,Medium,Wheat,Low
14.32,79.6,25,34,Medium,Barley,Low
13.21,78.91,40,100,Medium,Groundnut,Low
13.7,84.93,39,125,Low,Cotton,High
15.43,78.76,40,53,Medium,Peas,Low
14.01,80.89,27,107,Medium,Groundnut,Low
15.28,80.54,29,72,Medium,Rice,No Data
13.13,76.47,36,,High,Cotton,Low
13.92,84,,26,High,Rice,No Data
11.26,79.94,35,16,Low,Cotton,Low
18.81,77.02,,,Medium,Cotton,Average
12.45,77.46,,26,Medium,Maize,High
19.14,75.7,28,147,Low,Groundnut,Average
19.97,81.83,25,107,Medium,Groundnut,Average
16.27,78.72,30,43,High,Cotton,Average
15.99,81.42,32,84,High,Peas,Low
14.57,77.4,,101,Medium,,Average
11.05,78.66,31,74,High,,Average
19.9,81.81,30,30,Low,Groundnut,Low
11.5,81.8,34,113,Low,Cotton,Average
11,77.15,31,118,Medium,Wheat,Average
19.87,79.68,,29,Medium,Cotton,No Data
15.24,80.57,37,107,Low,Groundnut,High
17.25,84.81,28,100,Medium,,Average
11.17,77.54,29,58,High,Groundnut,High
17.85,83.51,,149,Low,,No Data
10.4,75.01,29,,Low,Rice,No Data
17.1,76.77,32,,Medium,Maize,Low
11.55,78.53,,116,Medium,,High
16.3,83.93,39,17,High,Wheat,Average
17.47,84.72,33,106,Medium,Rice,No Data
16.73,81.98,35,64,High,Peas,Low
12.23,84.4,31,,High,Peas,Average
14.46,75.5,27,,Low,,No Data
19.48,80.55,,76,Low,Peas,High
10.98,78.15,25,106,Medium,Maize,No Data
13.85,83,29,38,Low,Barley,Average
10.94,84.1,39,83,Medium,Wheat,No Data
